id,humedad_ambiente,humedad_tierra,temperatura,hora,estado_valvula
2008,53.3,54.0,6.0,2025-03-01 06:19:19,0
2007,52.9,54.0,6.1,2025-03-01 05:59:19,0
2006,53.1,53.0,6.5,2025-03-01 05:39:16,0
2005,51.0,55.0,6.8,2025-03-01 05:19:16,0
2004,48.7,54.0,7.7,2025-03-01 04:59:15,0
2003,46.8,56.0,7.5,2025-03-01 04:39:15,0
2002,44.9,55.0,8.2,2025-03-01 04:19:14,0
2001,46.1,55.0,7.4,2025-03-01 03:59:13,0
2000,45.5,56.0,8.3,2025-03-01 03:39:13,0
1999,45.7,55.0,9.0,2025-03-01 03:19:12,0
1998,41.4,55.0,9.1,2025-03-01 02:59:11,0
1997,40.5,58.0,10.0,2025-03-01 02:39:11,0
1996,38.3,58.0,10.3,2025-03-01 02:19:10,0
1995,41.7,58.0,11.1,2025-03-01 01:59:10,0
1994,38.5,57.0,10.6,2025-03-01 01:39:09,0
1993,38.6,56.0,11.5,2025-03-01 01:19:08,0
1992,37.7,58.0,11.8,2025-03-01 00:59:08,0
1991,37.4,58.0,12.5,2025-03-01 00:39:07,0
1990,34.3,60.0,12.7,2025-03-01 00:19:07,0
1989,34.9,59.0,12.8,2025-02-28 23:59:06,0
1988,32.3,59.0,13.8,2025-02-28 23:39:06,0
1987,31.6,60.0,13.8,2025-02-28 23:19:06,0
1986,28.9,60.0,15.8,2025-02-28 22:59:06,0
1985,28.2,60.0,15.9,2025-02-28 22:39:05,0
1984,26.7,61.0,16.2,2025-02-28 22:19:05,0
1983,25.4,62.0,18.0,2025-02-28 21:59:04,0
1982,27.0,61.0,17.3,2025-02-28 21:39:04,0
1981,25.0,61.0,18.2,2025-02-28 21:19:04,0
1980,24.4,61.0,17.5,2025-02-28 20:59:03,0
1979,24.4,62.0,19.0,2025-02-28 20:39:03,0
1978,22.0,63.0,19.9,2025-02-28 20:19:03,0
1977,23.0,61.0,18.9,2025-02-28 19:59:03,0
1976,22.0,61.0,21.3,2025-02-28 19:39:02,0
1975,18.4,62.0,24.3,2025-02-28 19:19:02,0
1974,16.1,62.0,26.4,2025-02-28 18:59:02,0
1973,15.3,62.0,27.9,2025-02-28 18:39:02,0
1972,14.7,61.0,29.1,2025-02-28 18:19:01,0
1971,14.3,63.0,30.0,2025-02-28 17:59:01,0
1970,13.4,63.0,31.8,2025-02-28 17:39:01,0
1969,13.2,64.0,32.6,2025-02-28 17:19:00,0
1968,10.8,64.0,34.4,2025-02-28 16:59:00,0
1967,9.0,65.0,40.7,2025-02-28 16:38:59,0
1966,9.7,65.0,43.9,2025-02-28 16:18:59,0
1965,10.0,65.0,39.5,2025-02-28 15:58:58,0
1964,9.8,65.0,42.3,2025-02-28 15:38:58,0
1963,9.5,66.0,43.3,2025-02-28 15:18:58,0
